biprime,n_qubits,depth,n_gates,n_cnot,n_u3
49,19,1089,1926,1132,794
55,19,1089,1926,1132,794
65,26,2105,3860,2314,1546
77,26,2105,3860,2314,1546
91,26,2105,3860,2314,1546
95,26,2105,3860,2314,1546
119,26,2105,3860,2314,1546
121,26,2105,3860,2314,1546
133,33,2636,5184,3066,2118
143,33,2638,5184,3066,2118
169,33,2636,5184,3066,2118
187,33,2636,5184,3066,2118
209,33,2636,5184,3066,2118
221,33,2636,5184,3066,2118
247,33,2636,5184,3066,2118
253,33,2636,5184,3066,2118
289,42,4342,8653,5186,3467
299,42,4342,8653,5186,3467
319,42,4333,8653,5186,3467
323,42,4342,8653,5186,3467
341,42,4342,8653,5186,3467
361,42,4342,8653,5186,3467
377,42,4330,8653,5186,3467
391,42,4342,8653,5186,3467
403,42,4342,8653,5186,3467
407,42,4342,8653,5186,3467
481,42,4342,8653,5186,3467
493,42,4342,8653,5186,3467
527,51,5146,10872,6444,4428
529,51,5146,10872,6444,4428
533,51,5146,10872,6444,4428
611,51,5146,10872,6444,4428
629,51,5134,10872,6444,4428
667,51,5146,10872,6444,4428
697,51,5134,10872,6444,4428
703,51,5138,10872,6444,4428
841,51,5146,10872,6444,4428
893,51,5146,10872,6444,4428
943,51,5146,10872,6444,4428
